TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
AGL,ANGLE PLC,ORD 10P,GB0034330679,SHRS,Shares,Health Care ,Health Care  ,23/12/2004,United Kingdom,GBX,AIM,,ASX1,AIMP
AYM,ANGLESEY MINING PLC,ORD 1P,GB0000320472,SHRS,Shares,Basic Materials,Basic Resources,08/09/2005,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ANG,ANGLING DIRECT PLC,ORD 1P,GB00BF1XGQ00,SHRS,Shares,Consumer Discretionary,Retail ,13/07/2017,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AAL,ANGLO AMERICAN PLC,ORD USD0.54945,GB00B1XZS820,SHRS,Shares,Basic Materials,Basic Resources,02/07/2007,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
AAZ,ANGLO ASIAN MINING PLC,ORD 1P,GB00B0C18177,SHRS,Shares,Basic Materials,Basic Resources,17/07/2006,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AEP,ANGLO-EASTERN PLANTATIONS PLC,ORD 25P,GB0000365774,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",19/12/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
ANGS,ANGUS ENERGY PLC,ORD GBP0.002,GB00BYWKC989,SHRS,Shares,Energy,Energy,14/11/2016,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ANCR,ANIMALCARE GROUP PLC,ORD 20P,GB0032350695,SHRS,Shares,Health Care ,Health Care  ,15/01/2008,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ANP,ANPARIO PLC,ORD 23P,GB00B3NWT178,SHRS,Shares,Health Care ,Health Care  ,04/10/2010,United Kingdom,GBX,AIM,,ASX1,AIMP
70GD,ANTOFAGASTA PLC,5% CUM PRF #1,GB0000455849,SHRS,Shares,Basic Materials,Basic Resources,28/06/2002,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSX4,SXSN
ANTO,ANTOFAGASTA PLC,ORD 5P,GB0000456144,SHRS,Shares,Basic Materials,Basic Resources,08/03/2004,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
AO.,AO WORLD PLC,ORD 0.25P,GB00BJTNFH41,SHRS,Shares,Consumer Discretionary,Retail ,26/02/2014,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
APAX,APAX GLOBAL ALPHA LIMITED,ORD NPV,GG00BWWYMV85,SHRS,Shares,Financials,Financial Services ,15/06/2015,Guernsey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
